Year,Location,Band_number,Sex,Sex_ratio,Hatch_order,Synchrony,Brood_size,Clutch_size,Helper_presence,Breeding_pairs
2007,F4,O88,1,0.25,First,1,6,8,1,Two
2007,F4,Z98,0,0.25,Middle,1,6,8,1,Two
2007,F4,R12,0,0.25,Middle,1,6,8,1,Two
2007,F4,T01,0,0.25,Last,1,6,8,1,Two
2007,L2,X37,1,0.5,First,1,4,8,0,Two
2007,L2,V24,1,0.5,Middle,1,4,8,0,Two
2007,L2,S61,0,0.5,Last,1,4,8,0,Two
2007,L2,S54,0,0.5,Last,1,4,8,0,Two
2007,H2,N42,1,0.6666666666666666,First,2,6,6,0,Two
2007,H2,S52,1,0.6666666666666666,Middle,2,6,6,0,Two
2007,H2,W65,0,0.6666666666666666,Middle,2,6,6,0,Two
2007,H2,R68,0,0.6666666666666666,Middle,2,6,6,0,Two
2007,H2,Z69,1,0.6666666666666666,Middle,2,6,6,0,Two
2007,H2,R41,1,0.6666666666666666,Last,2,6,6,0,Two
2007,C7,R54,1,0.25,First,NA,NA,NA,0,Two
2007,C7,Q25,0,0.25,First,NA,NA,NA,0,Two
2007,C7,V68,0,0.25,First,NA,NA,NA,0,Two
2007,C7,P72,0,0.25,First,NA,NA,NA,0,Two
2007,I2,N26,1,0.16666666666666666,First,3,7,8,1,Two
2007,I2,P93,0,0.16666666666666666,Middle,3,7,8,1,Two
2007,I2,P16,0,0.16666666666666666,Middle,3,7,8,1,Two
2007,I2,N14,0,0.16666666666666666,Middle,3,7,8,1,Two
2007,I2,P95,0,0.16666666666666666,Middle,3,7,8,1,Two
2007,I2,Q32,0,0.16666666666666666,Last,3,7,8,1,Two
2007,L1,O72,0,0,First,1,5,5,0,Two
2007,L1,T49,0,0,Middle,1,5,5,0,Two
2007,L1,V87,0,0,Middle,1,5,5,0,Two
2007,L1,T87,0,0,Middle,1,5,5,0,Two
2007,B9,Q35,1,0.5,NA,1,6,7,0,Two
2007,B9,Q30,0,0.5,NA,1,6,7,0,Two
2007,B9,Q63,1,0.5,NA,1,6,7,0,Two
2007,B9,Z67,0,0.5,NA,1,6,7,0,Two
2007,M9,Z25,1,0.8571428571428571,First,2,8,8,0,Two
2007,M9,R99,1,0.8571428571428571,Middle,2,8,8,0,Two
2007,M9,N43,0,0.8571428571428571,Middle,2,8,8,0,Two
